SK_ID_CURR,pd_raw,pd_calibrated,band,TARGET
100002,0.8966032291766042,0.4722222222222222,Very High,1
100003,0.25084420455316564,0.032682705401724924,Medium,0
100004,0.26939340647404525,0.032682705401724924,Medium,0
100006,0.36776996260396383,0.05702917771883289,Elevated,0
100007,0.5514111041390366,0.11594202898550725,High,0
100008,0.33552860817938107,0.04590570719602978,Elevated,0
100009,0.11429080819674327,0.01112099644128114,Low,0
100010,0.20251144349322556,0.02663230240549828,Medium,0
100011,0.3648749115405929,0.05702917771883289,Elevated,0
100012,0.2122182265376061,0.02663230240549828,Medium,0
100014,0.37014549798389607,0.05702917771883289,Elevated,0
100015,0.06651704268640876,0.010554089709762533,Very Low,0
100016,0.281529916835371,0.03659976387249114,Elevated,0
100017,0.32028376666639513,0.04590570719602978,Elevated,0
100018,0.06441006972443103,0.010554089709762533,Very Low,0
100019,0.6247787718016153,0.1445874337623013,Very High,0
100020,0.9263569039453258,0.6470588235294118,Very High,0
100021,0.4018094670083223,0.07317073170731707,Elevated,0
100022,0.145662250478588,0.01768172888015717,Low,0
100023,0.2820549564700639,0.03659976387249114,Elevated,0
100024,0.5103937030112842,0.10354223433242507,High,0
100025,0.4717358839632525,0.08342133051742344,High,0
100026,0.6148892679440396,0.1445874337623013,Very High,0
100027,0.15422571994827705,0.01768172888015717,Low,0
100029,0.11555753097049376,0.01112099644128114,Low,0
100030,0.15929235043466128,0.01768172888015717,Low,0
100031,0.8017158122877492,0.298989898989899,Very High,1
100032,0.5366116166050509,0.10837887067395265,High,0
100033,0.1898259206149323,0.02663230240549828,Medium,0
100034,0.3207847906162056,0.04590570719602978,Elevated,0
100035,0.5939190876775758,0.12500000000000003,Very High,0
100036,0.48757216391276637,0.08342133051742344,High,0
100037,0.1830917114418173,0.02663230240549828,Medium,0
100039,0.5100864324887702,0.10354223433242507,High,0
100040,0.42249688173839095,0.07894736842105263,High,0
100041,0.30784392760556034,0.04590570719602978,Elevated,0
100043,0.12066897381804427,0.01112099644128114,Low,0
100044,0.14477089795886877,0.01768172888015717,Low,0
100045,0.10752475288311186,0.01112099644128114,Low,0
100046,0.05698772238074311,0.010554089709762533,Very Low,0
100047,0.7612677813134101,0.22916666666666666,Very High,1
100048,0.7958078836064464,0.298989898989899,Very High,0
100049,0.5958236469348887,0.12500000000000003,Very High,1
100050,0.22845054229342876,0.02663230240549828,Medium,0
100051,0.6646983273361212,0.17524235645041011,Very High,0
100052,0.6437754086681735,0.14545454545454545,Very High,0
100053,0.5416833590170934,0.10837887067395265,High,0
100054,0.4204163861483259,0.07894736842105263,High,0
100055,0.261778119693327,0.032682705401724924,Medium,0
100056,0.3447214636846267,0.05174353205849269,Elevated,0
100058,0.10293775158042041,0.01112099644128114,Low,0
100059,0.3529527766563392,0.05174353205849269,Elevated,0
100060,0.3017922111292275,0.04590570719602978,Elevated,0
100061,0.3523166982418365,0.05174353205849269,Elevated,0
100062,0.21692355460471524,0.02663230240549828,Medium,0
100063,0.6588243350791387,0.17524235645041011,Very High,0
100064,0.6575048197404678,0.17524235645041011,Very High,0
100068,0.46704859231471707,0.07894736842105263,High,0
100069,0.49901341282762407,0.0873015873015873,High,0
100070,0.18776810249391027,0.02663230240549828,Medium,0
100071,0.15681749307704687,0.01768172888015717,Low,0
100072,0.4850263820081069,0.08342133051742344,High,0
100073,0.38294472553229364,0.057692307692307696,Elevated,0
100075,0.18903386602892883,0.02663230240549828,Medium,0
100076,0.5359353570618627,0.10837887067395265,High,0
100077,0.40940645685374333,0.07432432432432433,Elevated,0
100078,0.17014436093527016,0.02303030303030303,Low,0
100079,0.6623163972996793,0.17524235645041011,Very High,0
100080,0.2814188337583856,0.03659976387249114,Elevated,0
100081,0.4623166464969918,0.07894736842105263,High,0
100082,0.449564598267326,0.07894736842105263,High,0
100083,0.354640166473462,0.05174353205849269,Elevated,0
100084,0.43643049352283864,0.07894736842105263,High,0
100085,0.6141084399899821,0.1445874337623013,Very High,0
100086,0.5818352807480152,0.12500000000000003,Very High,0
100087,0.6705559627441315,0.17524235645041011,Very High,0
100088,0.17258775964216144,0.02303030303030303,Low,0
100089,0.45317134741003834,0.07894736842105263,High,0
100093,0.43637711116747235,0.07894736842105263,High,0
100094,0.26345139582136234,0.032682705401724924,Medium,0
100095,0.29936429557997557,0.04590570719602978,Elevated,0
100096,0.4979925713554812,0.0873015873015873,High,1
100097,0.32179332895071966,0.04590570719602978,Elevated,0
100098,0.4412923266242362,0.07894736842105263,High,0
100099,0.2798800021751039,0.032682705401724924,Medium,0
100100,0.2036141530457859,0.02663230240549828,Medium,0
100101,0.17631197882119923,0.02663230240549828,Medium,0
100102,0.2046691552649228,0.02663230240549828,Medium,0
100103,0.26451819007712307,0.032682705401724924,Medium,0
100104,0.3047712032657097,0.04590570719602978,Elevated,0
100105,0.2985281319518744,0.04590570719602978,Elevated,0
100108,0.4131637331732737,0.07894736842105263,High,0
100110,0.6066335494226215,0.1445874337623013,Very High,0
100111,0.39120789269548006,0.07317073170731707,Elevated,0
100112,0.8060351227026935,0.298989898989899,Very High,1
100113,0.19644355064682154,0.02663230240549828,Medium,0
100114,0.8110635786600537,0.3241252302025783,Very High,0
100115,0.6093354220563784,0.1445874337623013,Very High,0
100116,0.1425945935424303,0.01768172888015717,Low,0
100118,0.33729640959654383,0.04590570719602978,Elevated,0
100119,0.7682620988588622,0.28125,Very High,0
100120,0.823201268759603,0.3241252302025783,Very High,0
100121,0.5327046016337404,0.10837887067395265,High,0
100122,0.5771920271927663,0.12500000000000003,Very High,0
100123,0.19805410178710517,0.02663230240549828,Medium,0
100124,0.31263299517854176,0.04590570719602978,Elevated,0
100125,0.262737786000864,0.032682705401724924,Medium,0
100126,0.3186284038379008,0.04590570719602978,Elevated,0
100127,0.245071967117818,0.032682705401724924,Medium,0
100129,0.0821672152960998,0.01112099644128114,Low,0
100130,0.8018483248622926,0.298989898989899,Very High,1
100131,0.3431480580952567,0.05174353205849269,Elevated,0
100132,0.10584780016510767,0.01112099644128114,Low,0
100133,0.5513956426196089,0.11594202898550725,High,0
100134,0.09445205187886592,0.01112099644128114,Low,0
100135,0.6503399691005475,0.14545454545454545,Very High,0
100136,0.2064918527010926,0.02663230240549828,Medium,0
100137,0.46588808806633025,0.07894736842105263,High,0
100138,0.09321288588801224,0.01112099644128114,Low,0
100139,0.622016528470167,0.1445874337623013,Very High,0
100140,0.09857301539385446,0.01112099644128114,Low,0
100142,0.6132997443662049,0.1445874337623013,Very High,0
100143,0.06180264760776307,0.010554089709762533,Very Low,0
100144,0.48884938955917095,0.08342133051742344,High,0
100145,0.12833852686082986,0.01768172888015717,Low,0
100146,0.3993023859810374,0.07317073170731707,Elevated,0
100147,0.17639819483693153,0.02663230240549828,Medium,0
100148,0.41078223372914374,0.07894736842105263,High,0
100149,0.9123528340161668,0.6470588235294118,Very High,0
100151,0.19370855445096458,0.02663230240549828,Medium,0
100152,0.21523433737000447,0.02663230240549828,Medium,0
100153,0.4989889237342644,0.0873015873015873,High,0
100154,0.4402580098605957,0.07894736842105263,High,0
100155,0.6899038075017557,0.17524235645041011,Very High,0
100156,0.11960271318952116,0.01112099644128114,Low,0
100157,0.3660793595895837,0.05702917771883289,Elevated,0
100158,0.2775204887841737,0.032682705401724924,Medium,0
100159,0.1431315082068663,0.01768172888015717,Low,0
